dep;ivg_recours;ivg_horsdep;ivg_ville;ivg_chir;ivg_ag;img_horsdep;img_prive;ivg_privé;img_recours.x;ivg_eta_privé;ivg_1314;img_recours_av22;img_recours_ap22;img_recours.y;img_eta_prive;img_prop_av22;img_prop_ap22;dens_nb_gynec_2020;proxmat_2000;proxmat_2008;proxmat_2017;dens_nb_sgf_.2020;dens_nb_medg_2020;icf_.2020
68;939.837398373984;6.21152770005596;5.13264129181084;14.7932440302854;98.4251968503937;12.3015873015873;93.4497816593886;0.364741641337386;37.940379403794;20;4.55665024630542;98.0801071803233;16.1781620091255;115.774971877804;33.3333333333333;85.8407079646018;14.1592920353982;17;0;0;0;22.5;82.2;174
69;1331.09328080796;7.54036682865653;38.154649644567;31.627354991841;44.2307692307692;3.30578512396694;95.9917780061665;2.53342716396904;72.8017070745107;28.5714285714286;6.24553039332539;122.042047356739;60.283609494945;179.376000117986;38.4615384615385;66.9362992922144;33.0637007077856;24.1;0;0.1;0.1;33.7;99.1;183
70;815.749191032572;41.4191419141914;64.1330166270784;13.3651551312649;100;78;100;0;11.625879207115;0;10.8108108108108;19.6626953980355;1.78751776345777;21.4502131614933;0;91.6666666666667;8.33333333333333;5;0.7;4.6;4.9;19;82.6;177
71;944.591932859467;19.0353143841516;7.79691749773345;29.7445255474453;79.7546012269939;45.8563535911602;100;0;56.5213667894151;0;6.312625250501;77.5276587833695;7.91098559013975;85.4386443735093;0;90.7407407407407;9.25925925925926;10.4;0.1;0.1;0.2;19.5;72.1;183
72;952.285716483466;11.3348247576435;0.565428109854604;37.0805369127517;60.1809954751131;11.3095238095238;85.2760736196319;9.99187652315191;46.9219941078283;33.3333333333333;4.55655004068348;83.5129694927836;34.2617310739625;116.347128438664;50;70.9090909090909;29.0909090909091;12.5;0.2;1;0.9;22.1;62.2;190
73;1272.02773951456;12.5863392171911;45.8551157580284;22.4228743416102;72.1476510067114;9.79020979020979;100;0.137931034482759;60.7989360186197;16.6666666666667;8.48656294200849;98.2046406156538;44.6384730071154;143.735883082911;0;68.75;31.25;11.4;0.5;1.5;1.3;33.5;113.2;175
74;1343.0866455242;5.68485310950019;27.78352292313;22.8106611284181;91.5022761760243;6.9204152249135;92.1135646687697;2.86396181384248;51.853052153985;28.5714285714286;4.76878612716763;105.299874298275;34.2224591469394;139.083583968972;28.5714285714286;75.4716981132076;24.5283018867925;12.4;0.1;0;0.1;34.3;95.6;178
75;2462.37965798977;14.9514338575393;56.779283578291;22.8031860226105;72.9577464788732;15.8567774936061;99.4238683127572;1.47210363609598;138.339456512373;35;7.82923517875999;248.638506075795;112.881582734351;363.314233171487;23.5294117647059;68.7758478081059;31.2241521918941;49;0;0;0;27.5;115.6;149
76;1226.42740619902;5.27210884353742;32.6150571960628;20.6279261911319;98.7983978638184;3.68550368550369;91.3502109704641;1.46071851559416;63.9477977161501;30;7.32793522267206;105.269742272209;39.6668594069194;144.631471991383;14.2857142857143;72.6315789473684;27.3684210526316;12.4;0.3;0.3;0.3;20.7;92;181
77;1441.89369927264;30.585883438413;60.5373025957524;10.8600583090379;99.6644295302013;76.672384219554;98.0132450331126;5.05979760809568;12.8249757241531;30;5.27777777777778;31.756855726635;5.41589787586024;37.1727536024953;0;85.4304635761589;14.5695364238411;11.2;0;0;0;21.8;70;196
78;945.459770726671;32.1584938704028;37.6583169152829;16.4093767867353;96.1672473867596;36.4353312302839;94.7916666666667;2.88939051918736;47.3661241737538;33.3333333333333;5.77981651376147;89.2423028513791;30.2473911625122;119.98965089261;33.3333333333333;74.6861924686193;25.3138075313808;21.3;0;0;0;26.7;71.2;204
79;879.289841319415;16.3239074550129;9.2896174863388;29.0858725761773;98.0952380952381;48.7603305785124;92.4242424242424;7.2289156626506;25.2255282345734;33.3333333333333;5.02283105022831;71.2417209328213;2.22630377915067;73.4680247119719;33.3333333333333;96.969696969697;3.03030303030303;6.3;2.7;2.5;2.4;33.3;74.4;177
80;1071.9471571335;8.83720930232558;7.17131474103586;26.7333333333333;80.5486284289277;6.875;90.983606557377;0;50.5366853628676;0;6.41672674837779;88.5916590619942;74.6035023679951;162.529058730275;25;54.2857142857143;45.7142857142857;10.6;0;0;0;24.5;98.3;165
81;1376.69936327654;8.11272416737831;14.3333333333333;21.8165627782725;96.734693877551;31.4285714285714;91.7808219178082;3.01556420233463;30.9757356737223;25;5.48902195608782;61.1916264090177;16.1030595813205;78.3682232957595;0;79.1666666666667;20.8333333333333;8.8;1.9;1.6;1.6;40.6;89.6;173
82;1286.81019549616;21.1217183770883;37.5641025641026;14.8908857509628;100;53.2467532467532;46.1538461538462;59.3429158110883;16.4975666089252;66.6666666666667;3.93374741200828;55.5890119053134;4.63241765877611;60.2214295640895;66.6666666666667;92.3076923076923;7.69230769230769;12.8;0.4;0.7;0.7;27.4;89.1;190
83;1783.59832705083;14.6630044369322;48.6574074074074;14.3092105263158;99.5073891625616;38.0403458213257;87.4418604651163;23.3543733092876;30.5523787504077;36.3636363636364;5.3905893101873;62.6601775112234;21.0164570534538;83.6766345646772;25;74.8837209302326;25.1162790697674;14.3;0.2;0.2;0.2;24;107.8;190
84;2178.89382761307;10.4566210045662;21.7665615141956;12.8974633797785;63.1578947368421;28.1853281853282;96;7.48207885304659;65.6799401243337;10;3.58114233907525;148.380065954584;28.3980987472889;177.488117170555;16.6666666666667;83.9357429718875;16.0642570281125;19.8;0.1;0.1;0.3;26;92.5;207
85;785.711472569021;16.4056674123788;13.7844611528822;27.4957698815567;87.3846153846154;40.8888888888889;74.6376811594203;0.193798449612403;38.727633150854;14.2857142857143;5.19607843137255;76.8443410290379;7.99181146701995;84.8361524960579;20;90.5797101449275;9.42028985507246;10;1.3;1.5;1.2;29;69.9;183
86;1009.67801972827;7.88224121557455;30.2304147465438;15.2444870565676;100;10.1449275362319;95.7345971563981;12.4174372523118;67.0016750418761;25;4.7361299052774;100.065832784727;86.899275839368;185.209567698047;33.3333333333333;53.5211267605634;46.4788732394366;10;4;3.6;3.3;21.5;96;166
87;1324.73377723128;5.73543015726179;0.437828371278459;30.9671694764862;100;3.37078651685393;97.9591836734694;5.18909410729991;56.8405911421479;25;5.85106382978723;97.887798829697;61.9956059254748;159.883404755172;50;61.2244897959184;38.7755102040816;13.8;3.1;2.7;2.4;18.5;117.9;168
88;1054.95520932262;12.8266033254157;15.4501216545012;10.75;98.8372093023256;76.8292682926829;70;3.16546762589928;5.13360199183757;20;2.91120815138282;21.1876875993173;2.35418751103525;23.5418751103525;0;90;10;9.4;1.1;1.1;1;23.2;86.9;177
89;1155.86932447398;16.538882803943;23.7125748502994;40.5778894472362;100;32.6732673267327;100;0.156985871271586;35.9911406423034;25;6.2200956937799;64.8533170564224;26.7043070232327;91.5576240796551;0;70.8333333333333;29.1666666666667;6.2;0.5;1.7;2.2;18.7;67.6;195
90;2505.27753632187;8.47457627118644;8.42627013630731;16.1856963613551;100;24;100;5.68335588633288;58.984229479697;50;5.22696011004127;114.033212173045;28.5083030432613;142.541515216307;0;80;20;17;0;0;0;22;79;184
