"","dep_eta","ivg_recours","ivg_horsdep","ivg_ville","ivg_chir","ivg_ag","ivg_privé","img_recours","ivg_eta_privé","ivg_1314","dens_nb_gynec_2020","proxmat_2000","proxmat_2008","proxmat_2017","dens_nb_sgf_.2020","dens_nb_medg_2020","icf_.2020"
"51","50",863.04727210307,8.05739514348786,20.2209944751381,19.9110122358176,99.4413407821229,1.66204986149584,34.331162205205,25,8.67132867132867,"8","0.2","0.2","0.8","17.8","75.6",183
"52","51",1225.02259262978,10.2150537634409,32.903981264637,22.7781047675103,99.2248062015504,22.8621291448517,96.1083298667394,28.5714285714286,7.05467372134039,"15.6","0.2","0.2","0.3","25.1","92.7",174
"53","52",1267.9317745397,20.3619909502262,4.23162583518931,12.6168224299065,100,0,33.8868180277872,0,3.64963503649635,"6.6","0.6","0.5","8.2","18.6","80.4",171
"54","53",718.424101969872,15.6648451730419,5.04032258064516,27.0833333333333,86.1538461538462,0,8.69061413673233,0,6.03448275862069,"4.7","0","0","0","14.9","65.1",199
"55","54",1150.59754040111,9.49015648662292,7.16643092880717,19.9617041646721,100,14.4235652615541,55.3328378693603,12.5,5.66905005107252,"13.6","0","0","0","30.3","99.1",153
"56","55",658.795566693363,38.5474860335196,18.4313725490196,7.96812749003984,100,0,25.8351202624848,0,0.483091787439614,"6.4","2","2.2","2.3","26.9","77.7",177
"57","56",1131.55187674936,8.68131868131868,14.3763213530655,36.0151187904968,92.6536731634183,1.79012345679012,46.0515298677065,28.5714285714286,5.6390977443609,"9.5","1.1","1","1","23.8","96",184
"58","57",1028.49367696494,14.1718013773106,16.5369649805447,28.9410828025478,99.5873452544704,17.2027972027972,29.2140227309108,33.3333333333333,5.93260560037969,"12.3","0","0.2","0.1","26.9","78.8",160
"59","58",921.24141055652,21.038961038961,40.1639344262295,13.9344262295082,100,0,57.8922197890709,0,4.16666666666667,"9.7","2.7","11.6","15.6","14.1","72.9",177
"60","59",1255.25375565503,5.0085096036956,22.41297655695,25.4375303840544,32.58480649785,0.259423164962613,64.9474178571216,21.0526315789474,5.71649883810999,"14.9","0","0","0","22","96.7",182
"61","60",964.727743625046,26.1569416498994,37.0758483033932,14.57185778668,99.6563573883162,0,21.663048135293,0,7.57825370675453,"11.8","0","0","0","16.7","63.6",188
"62","61",1027.56370200653,15.6673114119923,0,18.6528497409326,100,0,26.0362424494897,0,4.12371134020619,"3.3","0","6.2","6.1","7.4","66.8",188
"63","62",1106.66399839904,10.7634543178974,29.2947558770344,20.3878406708595,78.53470437018,0,55.1759627204894,0,6.0930576070901,"8.9","0","0","0","17","86.5",189
"64","63",1143.22705148797,8.45771144278607,33.3333333333333,25.5214050493963,99.5698924731183,10.0961538461538,81.8335603095018,20,5.46047269763651,"12.9","1.6","3.8","3.4","27.1","97.9",162
